Date,Price,Open,High,Low,Change %
02-10-2025,6.519,6.519,6.519,6.519,-0.06%
01-10-2025,6.523,6.573,6.6,6.519,-0.73%
30-09-2025,6.571,6.558,6.574,6.533,0.12%
29-09-2025,6.563,6.525,6.576,6.518,0.71%
26-09-2025,6.517,6.504,6.524,6.489,0.39%
25-09-2025,6.492,6.489,6.497,6.481,0.14%
24-09-2025,6.483,6.461,6.488,6.46,0.25%
23-09-2025,6.467,6.486,6.502,6.467,-0.22%
22-09-2025,6.481,6.485,6.504,6.481,-0.12%
19-09-2025,6.489,6.51,6.531,6.485,-0.31%
18-09-2025,6.509,6.471,6.513,6.471,0.67%
17-09-2025,6.466,6.483,6.483,6.465,-0.37%
16-09-2025,6.49,6.494,6.497,6.483,-0.03%
15-09-2025,6.492,6.486,6.504,6.486,0.14%
12-09-2025,6.483,6.466,6.491,6.451,0.17%
11-09-2025,6.472,6.481,6.497,6.465,-0.17%
10-09-2025,6.483,6.493,6.519,6.467,-0.05%
09-09-2025,6.486,6.461,6.495,6.441,0.36%
08-09-2025,6.463,6.477,6.492,6.459,0.03%
05-09-2025,6.461,6.477,6.492,6.459,-0.51%
04-09-2025,6.494,6.544,6.544,6.49,-0.72%
03-09-2025,6.541,6.566,6.567,6.539,-0.43%
02-09-2025,6.569,6.585,6.592,6.566,-0.24%
01-09-2025,6.585,6.569,6.623,6.569,-0.05%
29-08-2025,6.588,6.553,6.615,6.536,0.76%
28-08-2025,6.538,6.6,6.62,6.537,-0.94%
27-08-2025,6.6,6.6,6.6,6.6,-0.26%
26-08-2025,6.617,6.601,6.65,6.593,0.38%
25-08-2025,6.592,6.551,6.6,6.543,0.66%
22-08-2025,6.549,6.529,6.561,6.529,0.37%
21-08-2025,6.525,6.506,6.529,6.501,0.43%
20-08-2025,6.497,6.519,6.519,6.49,-0.23%
19-08-2025,6.512,6.492,6.547,6.492,0.43%
18-08-2025,6.484,6.402,6.502,6.402,1.28%
15-08-2025,6.402,6.402,6.402,6.402,-0.03%
14-08-2025,6.404,6.486,6.489,6.402,-1.19%
13-08-2025,6.481,6.495,6.506,6.458,-0.03%
12-08-2025,6.483,6.436,6.494,6.425,0.86%
11-08-2025,6.428,6.407,6.449,6.4,0.45%
08-08-2025,6.399,6.386,6.418,6.374,0.14%
07-08-2025,6.39,6.414,6.414,6.385,-0.27%
06-08-2025,6.407,6.328,6.424,6.326,1.31%
05-08-2025,6.324,6.314,6.338,6.307,0.17%
04-08-2025,6.313,6.346,6.346,6.313,-0.91%
01-08-2025,6.371,6.377,6.378,6.367,-0.08%
31-07-2025,6.376,6.384,6.384,6.364,0.17%
30-07-2025,6.365,6.359,6.379,6.358,-0.06%
29-07-2025,6.369,6.374,6.382,6.359,-0.06%
28-07-2025,6.373,6.352,6.374,6.348,0.31%
25-07-2025,6.353,6.329,6.365,6.327,0.38%
24-07-2025,6.329,6.312,6.33,6.312,0.27%
23-07-2025,6.312,6.311,6.313,6.307,0.06%
22-07-2025,6.308,6.3,6.309,6.294,0.14%
21-07-2025,6.299,6.307,6.307,6.296,-0.10%
